Date,Price,Open,High,Low,Vol.,Change %
1/3/1983,456.7,457.6,459.5,456,0.02K,0.0009
1/4/1983,460,460,460.5,456,0.03K,0.0072
1/5/1983,464.4,462.8,468.5,459,0.02K,0.0096
1/6/1983,459.7,462,463.5,458,0.04K,-0.0101
1/7/1983,472.7,472.7,475,466.5,0.05K,0.0283
1/10/1983,486.2,481.5,489.5,479,0.07K,0.0286
1/11/1983,485.4,485.5,493,481.5,0.07K,-0.0016
1/12/1983,495.6,487,496.5,486.5,0.02K,0.021
1/13/1983,493,495,497.5,488.5,0.05K,-0.0052
1/14/1983,492.8,488.5,499,484.5,0.04K,-0.0004
1/17/1983,496,498.5,504.5,493.5,0.08K,0.0065
1/18/1983,507.3,491.5,506,485,0.05K,0.0228
1/19/1983,493,504.8,505,489,0.03K,-0.0282
1/20/1983,496,495.8,498,491.5,0.02K,0.0061
1/21/1983,488.5,490.8,493,483.5,0.03K,-0.0151
1/24/1983,486,476.5,490,475,0.03K,-0.0051
1/25/1983,493.7,491.5,496,491.5,0.07K,0.0158
1/26/1983,495,492,494.5,489.5,0.02K,0.0026
1/27/1983,504.1,500,507.5,500,47.14K,0.0184
1/28/1983,502.8,502,503.8,497.5,40.40K,-0.0026
1/31/1983,518.2,508,519,505.5,57.69K,0.0306
2/1/1983,511.5,517.5,518.5,511,56.40K,-0.0129
2/2/1983,515,505,518.5,504.5,50.14K,0.0068
2/3/1983,504,513.5,516.5,503.5,59.01K,-0.0214
2/4/1983,501,507,510.3,498,45.99K,-0.006
2/7/1983,501,497.5,503.5,496,35.05K,0
2/8/1983,499.2,505,506.5,498.5,38.44K,-0.0036
2/9/1983,498.3,497,501.3,495,40.63K,-0.0018
2/10/1983,509.5,501,511,500.5,40.13K,0.0225
2/11/1983,510,511,513.5,507.2,33.83K,0.001
2/14/1983,514.2,506.5,516,506.1,34.25K,0.0082
2/15/1983,511.5,517,520,511,51.15K,-0.0053
2/16/1983,511,511,516.3,508.5,49.86K,-0.001
2/17/1983,508,509,513,507,42.05K,-0.0059
2/18/1983,510.5,508,511.5,507.6,26.69K,0.0049
2/22/1983,485.5,507.5,508.8,485.5,64.87K,-0.049
2/23/1983,471.5,474,479.5,470,64.41K,-0.0288
2/24/1983,480.5,482,486.5,479,8.51K,0.0191
2/25/1983,452.1,467.6,475,453,0.01K,-0.0591
2/28/1983,427.1,427.1,427.1,427.1,0.00K,-0.0553
3/1/1983,418,418,418,418,0.00K,-0.0213
3/2/1983,439,436,436,436,0.00K,0.0502
3/3/1983,436,436,436,436,,-0.0068
3/4/1983,422.8,415.5,415.5,411,0.02K,-0.0303
3/7/1983,432.4,431,431,431,,0.0227
3/8/1983,427.4,427.8,427.8,427.8,0.01K,-0.0116
3/9/1983,429.3,429.3,429.3,429.3,,0.0044
3/10/1983,436,436,436,436,,0.0156
3/11/1983,432.3,429.5,430.5,429.5,0.00K,-0.0085
3/14/1983,441.6,441.6,441.6,441.6,,0.0215
3/15/1983,430.8,430.8,430.8,430.8,,-0.0245
3/16/1983,422.4,422.4,422.4,422.4,,-0.0195
3/17/1983,423.7,418,425,418,0.00K,0.0031
3/18/1983,419.4,428,428,428,0.00K,-0.0101
3/21/1983,424,417.5,419.5,417.5,0.01K,0.011
3/22/1983,422.5,426.3,428,426,0.00K,-0.0035
3/23/1983,421.5,413,422,413,0.01K,-0.0024
3/24/1983,413.5,413.5,413.5,413.5,,-0.019
3/25/1983,417.5,416.3,416.5,414,0.01K,0.0097
3/28/1983,415.3,414,414,414,,-0.0053
3/29/1983,422.2,417,424.3,417,18.57K,0.0166
3/30/1983,419.5,424,425.3,419,28.19K,-0.0064
3/31/1983,422,421,422.7,419.2,17.47K,0.006
4/4/1983,433.5,422.5,434.5,422.5,30.51K,0.0273
4/5/1983,434.8,433,439.8,432,47.57K,0.003
4/6/1983,435.5,436,437,431,34.05K,0.0016
4/7/1983,431,432,434,430.5,25.09K,-0.0103
4/8/1983,427.2,426,430.8,425,24.40K,-0.0088
4/11/1983,436.8,433.5,437.3,432.3,34.52K,0.0225
4/12/1983,437,439,439.3,434.2,33.14K,0.0005
